key,title,year,venue,citations,url,arxiv,doi,compression,fairness,domain,n_origins,origins,abstract
arxiv:2606.20689,NeoJaundice-AI: Smartphone-Based Neonatal Jaundice Detection Using Dual-Input Deep Learning and Synthetic Augmentation,2026,arXiv,,https://arxiv.org/abs/2606.20689,2606.20689,,True,True,True,1,arxiv:abs:quantization AND abs:Fitzpatrick,"Neonatal jaundice (hyperbilirubinemia) is one of the most common conditions affecting newborns worldwide, with India alone recording roughly 15 million cases per year. Early detection is critical, yet standard diagnosis requires blood tests that are often impractical in rural clinics where laboratory facilities are limited. This paper presents NeoJaundice-AI, a smartphone-based screening system that uses photographs of a baby's skin and sclera (eye white) to estimate jaundice severity and predict serum bilirubin levels in under three seconds without requiring internet connectivity. The proposed system is built on a dual-branch EfficientNet-B0 architecture that independently processes skin and sclera images. Deep features are fused with handcrafted YCbCr color statistics to jointly perform four-class severity classification and continuous bilirubin regression. A key contribution is a synthetic jaundice generation method that simulates bilirubin-induced yellowing through controlled YCbCr channel modifications on normal neonatal skin images. This approach addresses data scarcity, particularly for severe jaundice cases and darker Indian skin tones (Fitzpatrick Types IV to VI). In addition, a skin-tone normalization module improves prediction consistency across diverse neonatal complexions. Experimental results demonstrate an overall classification accuracy of 91.8 percent, a clinical sensitivity of 93.5 percent, and a bilirubin mean absolute error of 1.4 mg/dL. After INT8 quantization and ONNX conversion, the model size is reduced to 8.3 MB while maintaining inference times below three seconds on standard Android devices. To the best of our knowledge, this is the first India-focused neonatal jaundice AI system that combines multimodal image fusion, skin-tone adaptation, synthetic data augmentation, and fully offline mobile deployment within a single framework."
doi:10.1109/iccv51701.2025.01256,HUST: High-Fidelity Unbiased Skin Tone Estimation via Texture Quantization,2025,IEEE International Conference on Computer Vision,0,https://www.semanticscholar.org/paper/c1317dcb86a4a0b79fea03c067a8dbfa0cd7270c,,10.1109/ICCV51701.2025.01256,True,True,True,1,s2:quantization fairness skin tone dermatology,
doi:10.3390/diagnostics15151841,DeepBiteNet: A Lightweight Ensemble Framework for Multiclass Bug Bite Classification Using Image-Based Deep Learning,2025,Diagnostics,5,https://www.semanticscholar.org/paper/77cf94a2fe7e18f7549b2584c43467c0525c18ca,,10.3390/diagnostics15151841,True,True,True,2,s2:quantization bias Fitzpatrick skin type | s2:quantization fairness skin tone dermatology,"Background/Objectives: The accurate identification of insect bites from images of skin is daunting due to the fine gradations among diverse bite types, variability in human skin response, and inconsistencies in image quality. Methods: For this work, we introduce DeepBiteNet, a new ensemble-based deep learning model designed to perform robust multiclass classification of insect bites from RGB images. Our model aggregates three semantically diverse convolutional neural networks—DenseNet121, EfficientNet-B0, and MobileNetV3-Small—using a stacked meta-classifier designed to aggregate their predicted outcomes into an integrated, discriminatively strong output. Our technique balances heterogeneous feature representation with suppression of individual model biases. Our model was trained and evaluated on a hand-collected set of 1932 labeled images representing eight classes, consisting of common bites such as mosquito, flea, and tick bites, and unaffected skin. Our domain-specific augmentation pipeline imputed practical variability in lighting, occlusion, and skin tone, thereby boosting generalizability. Results: Our model, DeepBiteNet, achieved a training accuracy of 89.7%, validation accuracy of 85.1%, and test accuracy of 84.6%, and surpassed fifteen benchmark CNN architectures on all key indicators, viz., precision (0.880), recall (0.870), and F1-score (0.875). Our model, optimized for mobile deployment with quantization and TensorFlow Lite, enables rapid on-client computation and eliminates reliance on cloud-based processing. Conclusions: Our work shows how ensemble learning, when carefully designed and combined with realistic data augmentation, can boost the reliability and usability of automatic insect bite diagnosis. Our model, DeepBiteNet, forms a promising foundation for future integration with mobile health (mHealth) solutions and may complement early diagnosis and triage in dermatologically underserved regions."
doi:10.1109/icassp49660.2025.10887813,BID-Net: Balanced Incremental Distillation Network for Fair Dermatological Disease Diagnosis,2025,"IEEE International Conference on Acoustics, Speech, and Signal Processing",0,https://www.semanticscholar.org/paper/ee129c821ec469f747e77ad4b52b9482fb2b99e7,,10.1109/ICASSP49660.2025.10887813,True,True,True,2,cites:FairPrune 2022 | s2:pruning fairness skin disease diagnosis,"Given the increasing prevalence of deep learning applications in dermatological disease diagnosis, the pursuit of diagnostic accuracy needs to be accompanied by a focus on decision-making fairness to avoid unfair discrimination against under-represented demographic groups. This requires a tradeoff between diagnostic accuracy and fairness. To this end, we propose a balanced incremental distillation network (BID-Net) to tackle this problem, which balances the learning of different groups by being sensitive to changes in the data distribution. Specifically, aided by balanced memory, representative demographic groups are designed to assist underrepresented groups in learning knowledge, which is incrementally trained by integrating the distributions of different groups. In addition, our BID-Net incorporates knowledge distillation and distributional disparity to alleviate the catastrophic forgetting and enhance fairness. Experiments on two skin datasets demonstrate that our proposed network outperforms other methods in terms of fairness criteria and the trade-off between fairness and performance."
doi:10.48550/arxiv.2510.06125,Downsized and Compromised?: Assessing the Faithfulness of Model Compression,2025,arXiv.org,2,https://www.semanticscholar.org/paper/b6499495242d97997f563ce191d68abcaa8d472f,2510.06125,10.48550/arXiv.2510.06125,True,True,True,4,cites:Hooker 2019 What do compressed DNNs forget | cites:Iofinova 2023 Bias in pruned vision models | cites:Stoychev & Gunes 2022 compression fairness FER | s2:model compression fairness dermatology,"In real-world applications, computational constraints often require transforming large models into smaller, more efficient versions through model compression. While these techniques aim to reduce size and computational cost without sacrificing performance, their evaluations have traditionally focused on the trade-off between size and accuracy, overlooking the aspect of model faithfulness. This limited view is insufficient for high-stakes domains like healthcare, finance, and criminal justice, where compressed models must remain faithful to the behavior of their original counterparts. This paper presents a novel approach to evaluating faithfulness in compressed models, moving beyond standard metrics. We introduce and demonstrate a set of faithfulness metrics that capture how model behavior changes post-compression. Our contributions include introducing techniques to assess predictive consistency between the original and compressed models using model agreement, and applying chi-squared tests to detect statistically significant changes in predictive patterns across both the overall dataset and demographic subgroups, thereby exposing shifts that aggregate fairness metrics may obscure. We demonstrate our approaches by applying quantization and pruning to artificial neural networks (ANNs) trained on three diverse and socially meaningful datasets. Our findings show that high accuracy does not guarantee faithfulness, and our statistical tests detect subtle yet significant shifts that are missed by standard metrics, such as Accuracy and Equalized Odds. The proposed metrics provide a practical and more direct method for ensuring that efficiency gains through compression do not compromise the fairness or faithfulness essential for trustworthy AI."
doi:10.48550/arxiv.2511.16549,FairLRF: Achieving Fairness through Sparse Low Rank Factorization,2025,arXiv.org,1,https://www.semanticscholar.org/paper/cf31a09726a0fff3004ac94f052a1bca0ec0b418,2511.16549,10.48550/arXiv.2511.16549,True,True,True,3,cites:FairPrune 2022 | cites:Groh 2021 Fitzpatrick17k | s2:model compression fairness dermatology,"As deep learning (DL) techniques become integral to various applications, ensuring model fairness while maintaining high performance has become increasingly critical, particularly in sensitive fields such as medical diagnosis. Although a variety of bias-mitigation methods have been proposed, many rely on computationally expensive debiasing strategies or suffer substantial drops in model accuracy, which limits their practicality in real-world, resource-constrained settings. To address this issue, we propose a fairness-oriented low rank factorization (LRF) framework that leverages singular value decomposition (SVD) to improve DL model fairness. Unlike traditional SVD, which is mainly used for model compression by decomposing and reducing weight matrices, our work shows that SVD can also serve as an effective tool for fairness enhancement. Specifically, we observed that elements in the unitary matrices obtained from SVD contribute unequally to model bias across groups defined by sensitive attributes. Motivated by this observation, we propose a method, named FairLRF, that selectively removes bias-inducing elements from unitary matrices to reduce group disparities, thus enhancing model fairness. Extensive experiments show that our method outperforms conventional LRF methods as well as state-of-the-art fairness-enhancing techniques in terms of improving fairness while maintaining accuracy. Additionally, an ablation study examines how major hyper-parameters may influence the performance of processed models. To the best of our knowledge, this is the first work utilizing SVD not primarily for compression but for fairness enhancement of DL classifications."
doi:10.1109/elmar66948.2025.11194005,Skin Color Measurement from Dermatoscopic Images: An Evaluation on a Synthetic Dataset,2025,International Symposium ELMAR,1,https://www.semanticscholar.org/paper/143fad459e5b00f67effc2b1bbd57e4273b57008,2504.04494,10.1109/ELMAR66948.2025.11194005,True,True,True,2,cites:Groh 2021 Fitzpatrick17k | s2:quantization bias Fitzpatrick skin type,"This paper presents a comprehensive evaluation of skin color measurement methods from dermatoscopic images using a synthetic dataset (S-SYNTH) with controlled ground-truth melanin content, lesion shapes, hair models, and 18 distinct lighting conditions. This allows for rigorous assessment of the robustness and invariance to lighting conditions. We assess four classes of image colorimetry approaches: segmentation-based, patch-based, color quantization, and neural networks. We use these methods to estimate the Individual Typology Angle (ITA) and Fitzpatrick types from dermatoscopic images. Our results show that segmentation-based and color quantization methods yield robust, lighting-invariant estimates, whereas patch-based approaches exhibit significant lighting-dependent biases that require calibration. Furthermore, neural network models, particularly when combined with heavy blurring to reduce overfitting, can provide light-invariant Fitzpatrick predictions, although their generalization to real-world images remains unverified. We conclude with practical recommendations for designing fair and reliable skin color estimation methods."
doi:10.48550/arxiv.2507.15151,Performance Analysis of Post-Training Quantization for CNN-based Conjunctival Pallor Anemia Detection,2025,arXiv.org,1,https://www.semanticscholar.org/paper/926b033878a929ec4e1029878472e5f029b55051,2507.15151,10.48550/arXiv.2507.15151,True,True,True,2,s2:calibration data post-training quantization bias | s2:post-training quantization subgroup performance medical imaging,"Anemia is a widespread global health issue, particularly among young children in low-resource settings. Traditional methods for anemia detection often require expensive equipment and expert knowledge, creating barriers to early and accurate diagnosis. To address these challenges, we explore the use of deep learning models for detecting anemia through conjunctival pallor, focusing on the CP-AnemiC dataset, which includes 710 images from children aged 6-59 months. The dataset is annotated with hemoglobin levels, gender, age and other demographic data, enabling the development of machine learning models for accurate anemia detection. We use the MobileNet architecture as a backbone, known for its efficiency in mobile and embedded vision applications, and fine-tune our model end-to-end using data augmentation techniques and a cross-validation strategy. Our model implementation achieved an accuracy of 0.9313, a precision of 0.9374, and an F1 score of 0.9773 demonstrating strong performance on the dataset. To optimize the model for deployment on edge devices, we performed post-training quantization, evaluating the impact of different bit-widths (FP32, FP16, INT8, and INT4) on model performance. Preliminary results suggest that while FP16 quantization maintains high accuracy (0.9250), precision (0.9370), and F1 Score (0.9377), more aggressive quantization (INT8 and INT4) leads to significant performance degradation. Overall, our study supports further exploration of quantization schemes and hardware optimizations to assess trade-offs between model size, inference time, and diagnostic accuracy in mobile healthcare applications."
doi:10.48550/arxiv.2507.08330,Interpretability-Aware Pruning for Efficient Medical Image Analysis,2025,EMA4MICCAI,0,https://www.semanticscholar.org/paper/6dbd2d1728f462ad474a02c2ca5512682f7816ac,2507.08330,10.48550/arXiv.2507.08330,True,True,True,1,s2:pruning disparate impact medical image classification,"Deep learning has driven significant advances in medical image analysis, yet its adoption in clinical practice remains constrained by the large size and lack of transparency in modern models. Advances in interpretability techniques such as DL-Backtrace, Layer-wise Relevance Propagation, and Integrated Gradients make it possible to assess the contribution of individual components within neural networks trained on medical imaging tasks. In this work, we introduce an interpretability-guided pruning framework that reduces model complexity while preserving both predictive performance and transparency. By selectively retaining only the most relevant parts of each layer, our method enables targeted compression that maintains clinically meaningful representations. Experiments across multiple medical image classification benchmarks demonstrate that this approach achieves high compression rates with minimal loss in accuracy, paving the way for lightweight, interpretable models suited for real-world deployment in healthcare settings."
doi:10.1093/tas/txae168,Real-time digital dermatitis detection in dairy cows on Android and iOS apps using computer vision techniques,2025,Translational Animal Science,1,https://www.semanticscholar.org/paper/358dd36a6cde21bbbcae7ef3b77b78686c823ac6,,10.1093/tas/txae168,True,True,True,1,s2:quantization fairness computer vision demographic,"Abstract The aim of the study was to deploy computer vision models for real-time detection of digital dermatitis (DD) lesions in cows using Android or iOS mobile applications. Early detection of DD lesions in dairy cows is crucial for prompt treatment and animal welfare. Android and iOS apps could facilitate routine and early DD detection in cows’ feet on dairy and beef farms. Upon detecting signs of DD, dairy farmers could implement preventive and treatment methods, including foot baths, topical treatment, hoof trimming, or quarantining cows affected by DD to prevent its spread. We applied transfer-learning to DD image data for 5 lesion classes, M0, M4H, M2, M2P, and M4P, on pretrained YOLOv5 model architecture using COCO-128 pretrained weights. The combination of localization loss, classification loss, and objectness loss was used for the optimization of prediction performance. The custom DD detection model was trained on 363 images of size 416 × 416 pixels and tested on 46 images. During model training, data were augmented to increase model robustness in different environments. The model was converted into TFLite format for Android devices and CoreML format for iOS devices. Techniques such as quantization were implemented to improve inference speed in real-world settings. The DD models achieved a mean average precision (mAP) of 0.95 on the test dataset. When tested in real-time, iOS devices resulted in Cohen’s kappa value of 0.57 (95% CI: 0.49 to 0.65) averaged across the 5 lesion classes denoting the moderate agreement of the model detection with human investigators. The Android device resulted in a Cohen’s kappa value of 0.38 (95% CI: 0.29 to 0.47) denoting fair agreement between model and investigator. Combining M2 and M2P classes and M4H and M4P classes resulted in a Cohen’s kappa value of 0.65 (95% CI: 0.54 to 0.76) and 0.46 (95% CI: 0.35 to 0.57), for Android and iOS devices, respectively. For the 2-class model (lesion vs. non-lesion), a Cohen’s kappa value"
