check,path_a,path_b,distance
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Contact Dermatitis (CD)\CD (419).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Contact Dermatitis (CD)\CD (421).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Contact Dermatitis (CD)\CD (7).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Contact Dermatitis (CD)\CD (9).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Contact Dermatitis (CD)\CD (79).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Contact Dermatitis (CD)\CD (82).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (10).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (7).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (118).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (120).jpg,2
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (12).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (9).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (199).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (200).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (201).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (203).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (243).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (244).jpg,2
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (287).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (290).jpg,2
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (49).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Scabies (SC)\SC (51).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Seborrheic Dermatitis (SD)\SD (53).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Seborrheic Dermatitis (SD)\SD (54).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Seborrheic Dermatitis (SD)\SD (69).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Seborrheic Dermatitis (SD)\SD (71).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Seborrheic Dermatitis (SD)\SD (70).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Seborrheic Dermatitis (SD)\SD (71).jpg,2
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (129).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (130).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (138).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (139).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (17).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (18).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (170).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (172).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (236).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (238).jpg,2
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (239).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (240).jpg,4
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (30).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (33).jpg,2
within_skindisnet_near,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (37).jpg,C:\Users\tishy\Documents\Honors\SkinDisNet\Preprocessed\Tinea Corporis (TC)\TC (38).jpg,4
